Model Name,Precision,Recall,F1,AUC,TPR,FPR
kNN,0.9320557491289199,0.9553571428571429,0.9435626102292769,0.9619654368596754,0.9553571428571429,0.031426269137792104
Random Forest,0.9385964912280702,0.9553571428571429,0.9469026548672567,0.9635770404052031,0.9553571428571429,0.028203062046736505
XGBoost,0.9587073608617595,0.9535714285714286,0.9561324977618622,0.9675189938989296,0.9535714285714286,0.018533440773569703
LGBM,0.9381625441696113,0.9482142857142857,0.9431616341030196,0.9600056118337746,0.9482142857142857,0.028203062046736505
Survey,0.9417989417989417,0.9535714285714286,0.9476486246672582,0.96348998503511,0.9535714285714286,0.0265914585012087
