,au_rand_flooding,duplicated_encapsulated_payload,duplicated_iocap,truncated_sco_link_request,feature_response_flooding,invalid_feature_page_execution,lmp_auto_rate_overflow,lmp_overflow_dm1,truncated_lmp_accepted,invalid_setup_complete,invalid_timing_accuracy
au_rand_flooding,0.7794117647058824,0.007352941176470588,0.007352941176470588,0.0,0.14705882352941177,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0
duplicated_encapsulated_payload,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0,0.0
duplicated_iocap,0.2857142857142857,0.031746031746031744,0.30158730158730157,0.015873015873015872,0.12698412698412698,0.09523809523809523,0.0,0.0,0.14285714285714285,0.0,0.0
truncated_sco_link_request,0.16666666666666666,0.0,0.12121212121212122,0.030303030303030304,0.19696969696969696,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.42424242424242425,0.0,0.0
feature_response_flooding,0.061224489795918366,0.04081632653061224,0.0,0.0,0.8775510204081632,0.0,0.0,0.0,0.02040816326530612,0.0,0.0
invalid_feature_page_execution,0.14634146341463414,0.0,0.2682926829268293,0.0,0.2682926829268293,0.024390243902439025,0.024390243902439025,0.0,0.2682926829268293,0.0,0.0
lmp_auto_rate_overflow,0.22580645161290322,0.06451612903225806,0.0967741935483871,0.0,0.3225806451612903,0.0,0.0,0.0,0.2903225806451613,0.0,0.0
lmp_overflow_dm1,0.3684210526315789,0.02631578947368421,0.02631578947368421,0.0,0.2631578947368421,0.10526315789473684,0.0,0.0,0.21052631578947367,0.0,0.0
truncated_lmp_accepted,0.07407407407407407,0.0,0.018518518518518517,0.0,0.35185185185185186,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
invalid_setup_complete,0.3125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.4375,0.0,0.0
invalid_timing_accuracy,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.2777777777777778,0.027777777777777776,0.0,0.0,0.3611111111111111,0.0,0.0
